trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",25,17,-6.753928430699542,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",25,19,11.972185683825245,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",25,0,-58.63127636129165,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",20,4,5.311996972137399,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.24808426683434853}",30,9,-45.93500160228875,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766156}",20,0,2.7736132458389564,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",25,0,-7.510837647401671,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",20,10,16.894260255168497,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",25,12,0.3972101476607446,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.22424852815044813}",20,0,-26.09318000918477,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.21976355758743915}",20,0,-28.227343027767432,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.21536828643569036}",20,9,8.403453897247969,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",20,0,-34.42827682393509,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.20683970229283702}",20,0,-43.97706463726183,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
